[1/11/23, 3:41:34 p. m.] Gen Filtrada: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Solo las personas en este chat pueden leerlos, escucharlos o compartirlos.
[1/11/23, 3:41:34 p. m.] Venegas: ‎Venegas creó este grupo.
[22/5/24, 3:22:30 p. m.] Ashley Padilla: Pero entonces no entendí lo de 3 y 4 días jajaj, siempre serán 5 no?
[22/5/24, 3:22:40 p. m.] Anthony: Otra idiota
[22/5/24, 3:22:56 p. m.] Ashley Padilla: Jajajajjaja
[22/5/24, 3:23:02 p. m.] Anthony: Siempre son los 5 días de clase
[22/5/24, 3:23:03 p. m.] Juan Pablo M.: esa vara de entrar a la 1 y salir a las 9
[22/5/24, 3:23:03 p. m.] Anthony: Pero 3 presenciales
[22/5/24, 3:23:03 p. m.] Anthony: O 4 presenciales
‎[22/5/24, 3:23:09 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:23:10 p. m.] Anthony: exacto
[22/5/24, 3:23:13 p. m.] Javier Hernández: Mae, es que primero nos vendió una cosa y luego resultó otra jajaja
[22/5/24, 3:23:16 p. m.] Anthony: Esa es la bronca
[22/5/24, 3:23:19 p. m.] Javier Hernández: Yo también me confundí
[22/5/24, 3:23:21 p. m.] Felix: Si
[22/5/24, 3:23:22 p. m.] Ashley Padilla: Exacto
[22/5/24, 3:23:24 p. m.] Sofía Bocker: Literal
[22/5/24, 3:23:25 p. m.] Anthony: Xd
[22/5/24, 3:23:26 p. m.] Felix: Mejor hubiera escrito Anthony
‎[22/5/24, 3:23:34 p. m.] Felix: ‎sticker omitido
[22/5/24, 3:23:35 p. m.] Ashley Padilla: Alch
[22/5/24, 3:23:36 p. m.] Anthony: Anthony no estaba
[22/5/24, 3:23:38 p. m.] Sofía Bocker: No somos nosotros el problema😔
[22/5/24, 3:23:39 p. m.] Juan Pablo M.: legal
[22/5/24, 3:23:54 p. m.] Juan Pablo M.: dele ese teléfono a Tony mejor
[22/5/24, 3:23:56 p. m.] Ashley Padilla: Anthony real vuelve 😔
‎[22/5/24, 3:24:01 p. m.] Anthony: ‎sticker omitido
[22/5/24, 3:24:01 p. m.] Javier Hernández: Legal no entiendo si al final son virtuales si o si y además son los 5 días si o si
[22/5/24, 3:24:05 p. m.] Gustavo Amador: apoyo
[22/5/24, 3:24:05 p. m.] Gerard: No es al revés?
[22/5/24, 3:24:13 p. m.] Juan Pablo M.: de paso:
[22/5/24, 3:24:15 p. m.] Gustavo Amador: creo que si
[22/5/24, 3:24:25 p. m.] Juan Pablo M.: nombres Venegas, sálgase ‎<Se editó este mensaje.>
[22/5/24, 3:24:33 p. m.] Ashley Padilla: Ni entendí nada
[22/5/24, 3:24:35 p. m.] Sofía Bocker: Entiendo que son virtuales y 5 días sí o sí
[22/5/24, 3:24:39 p. m.] Ashley Padilla: Pero no quiero tener 3 clases seguidas
[22/5/24, 3:24:46 p. m.] Juan Pablo M.: x2
[22/5/24, 3:24:50 p. m.] Anthony: Ok, Juanga ya dijo que va a ser bimodal si o si
Instrumentos y Coti
[22/5/24, 3:24:52 p. m.] Anthony: Conti
[22/5/24, 3:24:52 p. m.] Juan Pablo M.: 8 horas seguidas, ni que estuviera breteando ya
[22/5/24, 3:24:56 p. m.] Anthony: Confirmo
[22/5/24, 3:24:59 p. m.] Anthony: Eso es lo feo
[22/5/24, 3:25:07 p. m.] Anthony: Y por eso Juanga dijo que quería saber
[22/5/24, 3:25:09 p. m.] Anthony: Que opinaban
[22/5/24, 3:25:13 p. m.] Anthony: Pero a él le gusta
[22/5/24, 3:25:15 p. m.] Anthony: Esa opcion
[22/5/24, 3:25:17 p. m.] Juan Pablo M.: deay, pero si eso es lo feo, por qué no lo descartamos
[22/5/24, 3:25:18 p. m.] Ashley Padilla: A nosotros no
[22/5/24, 3:25:20 p. m.] Corella: De 10 esa opción
[22/5/24, 3:25:21 p. m.] Gustavo Amador: Mae la verdad esos cursos tuvieran almenos recesos entre ellos lo pensaría
‎[22/5/24, 3:25:22 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:25:22 p. m.] Anthony: Para no hacernos venir a la u
[22/5/24, 3:25:24 p. m.] Anthony: 4 dias
[22/5/24, 3:25:38 p. m.] Anthony: Juanga dijo
[22/5/24, 3:25:41 p. m.] Anthony: Que los martes
[22/5/24, 3:25:44 p. m.] Javier Hernández: Encima le pone colores y luego dice:
“Los colores no significan nada” 🤣
[22/5/24, 3:25:45 p. m.] Anthony: Trataría de no matarnos
[22/5/24, 3:25:52 p. m.] Anthony: No los puse yo
[22/5/24, 3:25:54 p. m.] Juan Pablo M.: yo prefiero ir 4 días que ir un día 8 horas la verdad
[22/5/24, 3:25:56 p. m.] Anthony: La imagen me la pasó juanga
‎[22/5/24, 3:26:00 p. m.] Anthony: ‎sticker omitido
[22/5/24, 3:26:05 p. m.] Ashley Padilla: Nombres jaja
[22/5/24, 3:26:09 p. m.] Juan Pablo M.: deay pero es que igual
[22/5/24, 3:26:10 p. m.] Ashley Padilla: Si, en serio si
[22/5/24, 3:26:10 p. m.] Sofía Bocker: Creo que la cuestión es más de si preferimos tener 8 horas seguidas de clase o venir jueves y viernes presencial a las 3 por un solo curso ‎<Se editó este mensaje.>
[22/5/24, 3:26:20 p. m.] Sofía Bocker: O no sé la verdad
[22/5/24, 3:26:25 p. m.] Javier Hernández: Sigo en pie con los 4 días
[22/5/24, 3:26:27 p. m.] Anthony: Basicamente
[22/5/24, 3:26:29 p. m.] Gerard: Mejor 4 días
[22/5/24, 3:26:33 p. m.] Gerard: X2
[22/5/24, 3:26:33 p. m.] Ashley Padilla: Same
[22/5/24, 3:26:33 p. m.] Gustavo Amador: aja
[22/5/24, 3:26:36 p. m.] Ashley Padilla: 4 días
[22/5/24, 3:26:45 p. m.] Juan Pablo M.: ysí
[22/5/24, 3:26:56 p. m.] Adrian: x2 ‎<Se editó este mensaje.>
[22/5/24, 3:26:57 p. m.] Gerard: .
[22/5/24, 3:27:00 p. m.] Gustavo Amador: Tiren otra encuesta para votar
[22/5/24, 3:27:02 p. m.] Anthony: ....
[22/5/24, 3:27:05 p. m.] Anthony: Voy
[22/5/24, 3:27:09 p. m.] Juan Pablo M.: tire otra encuesta sí
[22/5/24, 3:27:10 p. m.] Anthony: Juanga dice que vale 50 votos
[22/5/24, 3:27:13 p. m.] Anthony: JAJAJAJAJAJA
‎[22/5/24, 3:27:24 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:27:41 p. m.] Anthony: ‎ENCUESTA:
8 horas seguidas de clase o venir jueves y viernes a la U
‎OPCIÓN: 8 horas seguidas (7 votos)
‎OPCIÓN: Venir dos días a la U (10 votos)
[22/5/24, 3:27:52 p. m.] Javier Hernández: Otra vez lo puso mal
[22/5/24, 3:28:00 p. m.] Javier Hernández: No es venir dos días, es venir 4 días
[22/5/24, 3:28:07 p. m.] Adrian: se entiende
‎[22/5/24, 3:28:07 p. m.] Javier Hernández: ‎sticker omitido
[22/5/24, 3:28:08 p. m.] Anthony: XD
[22/5/24, 3:28:10 p. m.] Anthony: Se entiende
[22/5/24, 3:28:15 p. m.] Anthony: Gracias adrian
[22/5/24, 3:28:29 p. m.] Javier Hernández: Ese voto de Tony no es Tony, ojito ahí
‎[22/5/24, 3:28:30 p. m.] Anthony: ‎sticker omitido
[22/5/24, 3:28:36 p. m.] Adrian: los odio. Me voy a tener que comer 4 horas de ida y vuelta de aserri por una fucking clase. La proba de que vaya es 0 literal
[22/5/24, 3:28:40 p. m.] Ashley Padilla: Queremos al real
[22/5/24, 3:28:53 p. m.] Juan Pablo M.: Adrian
[22/5/24, 3:28:56 p. m.] Ashley Padilla: Si es de otra manera ni va a ir jaja
[22/5/24, 3:28:56 p. m.] Anthony: JAJAJAJAJAJA
[22/5/24, 3:28:56 p. m.] Juan Pablo M.: ni venís
[22/5/24, 3:28:56 p. m.] Javier Hernández: Igual vas a faltar 🤣
[22/5/24, 3:29:02 p. m.] Adrian: jajajajaja
[22/5/24, 3:29:09 p. m.] Javier Hernández: Apuesto que ni se conecta
[22/5/24, 3:29:11 p. m.] Anthony: Juanpa tampoco va a clase
[22/5/24, 3:31:23 p. m.] Gustavo Amador: ‎Gustavo Amador fijó un mensaje.
[22/5/24, 3:29:14 p. m.] Anthony: 😂😂😂
[22/5/24, 3:29:17 p. m.] Anthony: De que habla
[22/5/24, 3:29:45 p. m.] Juan Pablo M.: deay, si no voy a una, menos voy a ir 8 horas seguidas
‎[22/5/24, 3:29:50 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:30:02 p. m.] Anthony: Y le va a dar pereza venir a clase corta los jueves
[22/5/24, 3:30:08 p. m.] Juan Pablo M.: tenga fe
‎[22/5/24, 3:30:15 p. m.] Anthony: ‎sticker omitido
[22/5/24, 3:30:17 p. m.] Anthony: no le creo pa
[22/5/24, 3:30:18 p. m.] Anthony: Hahahaja
[22/5/24, 3:30:24 p. m.] Adrian: le falta odio
[22/5/24, 3:30:27 p. m.] Anthony: Dijo Juanga que 4 días entonces
[22/5/24, 3:30:39 p. m.] Anthony: YA QUEDÓ
‎[22/5/24, 3:30:47 p. m.] Gustavo Amador: ‎sticker omitido
[22/5/24, 3:30:54 p. m.] Dixon Montero: 4 días entonces?
[22/5/24, 3:30:55 p. m.] Juan Pablo M.: deay, amén
[22/5/24, 3:30:56 p. m.] Anthony: De paso también los odio XD
[22/5/24, 3:31:06 p. m.] Anthony: Yup
‎[22/5/24, 3:31:11 p. m.] Gerard: ‎sticker omitido
[22/5/24, 3:31:11 p. m.] Corella: Cualquier cosa ahí me rotan las cosas de esas dos clases porfa
[22/5/24, 3:31:14 p. m.] Dixon Montero: Que hp pedidera de pinga decidanse
[22/5/24, 3:31:21 p. m.] Juan Pablo M.: ya se decidió de que habla
[22/5/24, 3:31:23 p. m.] Juan Pablo M.: JAJAJAJ
[22/5/24, 3:31:24 p. m.] Javier Hernández: Igual eso no es válido, solo hay 11 votos de 30
[22/5/24, 3:31:25 p. m.] Anthony: Di ya se decidio
[22/5/24, 3:31:28 p. m.] Anthony: De que habla idiota
[22/5/24, 3:31:41 p. m.] Dixon Montero: *
[22/5/24, 3:31:48 p. m.] Luis Fer Amey: JAJAJAJAJJA
[22/5/24, 3:31:54 p. m.] Gustavo Amador: Juanga es God
[22/5/24, 3:31:55 p. m.] Javier Hernández: Para tomar una decisión así debería hacer un zoom con todos
[22/5/24, 3:31:56 p. m.] Javier Hernández: Mínimo
[22/5/24, 3:31:58 p. m.] Gustavo Amador: no ocupa votos
[22/5/24, 3:32:00 p. m.] Anthony: Si, eso es verdad
[22/5/24, 3:32:15 p. m.] Dixon Montero: Nos lo está tomando en consideración
[22/5/24, 3:32:17 p. m.] Anthony: O sea Juanga al final manda xddd
[22/5/24, 3:32:21 p. m.] Javier Hernández: O que elija él a su propio criterio, pero incluso sin influencia suya
[22/5/24, 3:32:22 p. m.] Anthony: El mae solo quería medio saber
[22/5/24, 3:32:23 p. m.] Juan Pablo M.: no hay quorum es?
[22/5/24, 3:32:23 p. m.] Javier Hernández: Exacto
[22/5/24, 3:32:24 p. m.] Anthony: Que opinaban
[22/5/24, 3:32:27 p. m.] Dixon Montero: Pero en realidad los horarios no los decidimos nosotros
[22/5/24, 3:32:35 p. m.] Anthony: Porque si se pone a mover
‎[22/5/24, 3:32:36 p. m.] Dixon Montero: ‎sticker omitido
[22/5/24, 3:32:40 p. m.] Juan Pablo M.: deay pero media hora para nada entonces
[22/5/24, 3:32:45 p. m.] Anthony: Le toca acomodar otras cosas
‎[22/5/24, 3:32:46 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:32:56 p. m.] Anthony: Di al final si
[22/5/24, 3:33:09 p. m.] Anthony: Porque el quería 3 dias
[22/5/24, 3:33:13 p. m.] Anthony: Y al final dijo que 4
[22/5/24, 3:33:15 p. m.] Anthony: Por ustedes
[22/5/24, 3:33:23 p. m.] Anthony: O sea no se desperdició el tiempo
[22/5/24, 3:33:28 p. m.] Anthony: No hablen mierda xd
‎[22/5/24, 3:33:32 p. m.] Anthony: ‎sticker omitido
‎[22/5/24, 3:33:48 p. m.] Gustavo Amador: ‎sticker omitido
[22/5/24, 3:34:23 p. m.] Anthony: Tons quedó la opción de 4 días dijo
El lunes manda lo definitivo.
‎[22/5/24, 3:34:45 p. m.] Javier Hernández: ‎sticker omitido
[22/5/24, 3:34:47 p. m.] Anthony: yo quería opción de 3 a si que tampoco influí
[22/5/24, 3:34:58 p. m.] Anthony: Porque también Juanga quería 3 días xd
[22/5/24, 3:35:04 p. m.] Adrian: que bien!!! semestre de 3 dias y pedir apuntes por los otros dos. Porque tras de eso es a las 4 pm entonces probablemente me tenga que ir antes de las 2 si quiero llegar. En otras palaras no va a pasar xd
[22/5/24, 3:35:26 p. m.] Dixon Montero: Pero suave
[22/5/24, 3:35:29 p. m.] Dixon Montero: El de 4
[22/5/24, 3:35:34 p. m.] Dixon Montero: Sería todo presencial?
[22/5/24, 3:35:38 p. m.] Ashley Padilla: No
[22/5/24, 3:35:41 p. m.] Felix: Pero dígale que le dé chance a que unos cuantos contesten
[22/5/24, 3:35:45 p. m.] Felix: La votación está en empate
[22/5/24, 3:35:46 p. m.] Sofía Bocker: Miércoles virtual
‎[22/5/24, 3:35:59 p. m.] Gerard: ‎sticker omitido
[22/5/24, 3:36:05 p. m.] Anthony: Ojo
[22/5/24, 3:36:09 p. m.] Javier Hernández: O que nos explique él mañana un momentito ‎<Se editó este mensaje.>
[22/5/24, 3:36:23 p. m.] Dixon Montero: Esa votación no me da la suficiente información
‎[22/5/24, 3:36:33 p. m.] Juan Pablo M.: ‎sticker omitido
[22/5/24, 3:36:43 p. m.] Anthony: ????
[22/5/24, 3:36:55 p. m.] Felix: Si que mañana en una clase se decida más fácil
[22/5/24, 3:37:05 p. m.] Dixon Montero: Acepto la moción
[22/5/24, 3:37:10 p. m.] Juan Pablo M.: en la de conti
[22/5/24, 3:37:11 p. m.] Javier Hernández: Igual en esa votación el voto de Tony es Venegas y juraría que Tony prefiere 4 días (vive en la U)
[22/5/24, 3:37:18 p. m.] Juan Pablo M.: toda la clase porfa
[22/5/24, 3:37:19 p. m.] Luis Fer Amey: 8 horas seguidas? 🫣
[22/5/24, 3:37:25 p. m.] Adrian: prefiere 3, ya lo dijo
[22/5/24, 3:37:25 p. m.] Anthony: Tony quiere 4 dias
[22/5/24, 3:37:28 p. m.] Anthony: Pero acaba de decir
[22/5/24, 3:37:31 p. m.] Anthony: Yo vivo aquí
[22/5/24, 3:37:33 p. m.] Anthony: Xd
‎[22/5/24, 3:37:42 p. m.] Anthony: ‎imagen omitida
[22/5/24, 3:37:44 p. m.] Dixon Montero: Me cago en venegas
[22/5/24, 3:37:56 p. m.] Javier Hernández: El teléfono de Tony lo tiene Venegas -.-
[22/5/24, 3:38:06 p. m.] Luis Fer Amey: Diay si
[22/5/24, 3:38:05 p. m.] Anthony: JAJAJAJA
[22/5/24, 3:38:07 p. m.] Anthony: Si
[22/5/24, 3:38:07 p. m.] Adrian: no entiendo ni pinga then
[22/5/24, 3:38:09 p. m.] Anthony: En efecti
[22/5/24, 3:38:14 p. m.] Anthony: Soy venegas
‎[22/5/24, 3:38:25 p. m.] Anthony: ‎imagen omitida
[22/5/24, 3:38:43 p. m.] Luis Fer Amey: Mae entonces no le hagan caso
[22/5/24, 3:39:00 p. m.] Anthony: De que habla?
[22/5/24, 3:39:19 p. m.] Dixon Montero: Que no le hagamos caso a usted mamatolete
‎[22/5/24, 3:39:22 p. m.] Dixon Montero: ‎sticker omitido
‎[22/5/24, 3:39:31 p. m.] Javier Hernández: ‎sticker omitido
‎[22/5/24, 3:43:14 p. m.] Javier Hernández: ‎sticker omitido
‎[22/5/24, 4:01:32 p. m.] Adrian: ‎imagen omitida
[22/5/24, 4:01:46 p. m.] Venegas: loJAJAJAJA
[22/5/24, 4:01:57 p. m.] Venegas: Proximamente corella y yuplon
‎[22/5/24, 5:20:38 p. m.] ~ Paula 🐨: ‎sticker omitido
‎[23/5/24, 10:37:16 a. m.] Javier Hernández: Asymptotic Statistics - Lecture Notes.pdf • ‎115 páginas ‎documento omitido
[23/5/24, 10:37:26 a. m.] Corella: Gracias
[23/5/24, 10:37:40 a. m.] Ashley Padilla: Gracias, muy amable!
[23/5/24, 11:10:13 a. m.] Juan Pablo: ‎Cambió tu código de seguridad con Juan.
[23/5/24, 12:20:57 p. m.] Juan Pablo: ‎Cambió tu código de seguridad con Juan.
[24/5/24, 11:24:13 a. m.] Dixon Montero: https://www.instagram.com/reel/C6NLfpeNZxn/?igsh=MTFhNzVzNDVqcmdyaA==
[24/5/24, 11:24:25 a. m.] Dixon Montero: https://www.instagram.com/reel/C6O7R50uM48/?igsh=Z245cHhqa2xwaWJx
[28/5/24, 8:58:45 p. m.] Venegas: Alguien más siente que el examen estuvo groserito?
[28/5/24, 8:59:18 p. m.] Venegas: O sea, al menos un nivel diferente a las prácticas, ejercicips hechos en clase y exámenes anteriores
[28/5/24, 8:59:25 p. m.] Venegas: Ejercicios*
[28/5/24, 8:59:26 p. m.] Luis Fer Amey: Estuvo tramposo
[28/5/24, 8:59:29 p. m.] Juan Pablo M.: sí
‎[28/5/24, 8:59:32 p. m.] Felix: ‎sticker omitido
[28/5/24, 8:59:34 p. m.] Venegas: Gracias
[28/5/24, 8:59:52 p. m.] Venegas: Pensé que era el único, la verdad se lo quiero comentar
[28/5/24, 8:59:57 p. m.] Venegas: el viernes
[28/5/24, 9:00:10 p. m.] Venegas: Porque si siento que estuvo grodero
[28/5/24, 9:00:13 p. m.] Venegas: grosero*
[28/5/24, 9:00:16 p. m.] Ashley Padilla: Más difícil que lo que nos subió de semestre anterior y más difícil que el semestre pasado también
[28/5/24, 9:00:52 p. m.] Juan Pablo M.: sí se sintió muy por encima de lo que habíamos visto la verdad jaja
‎[28/5/24, 9:01:04 p. m.] Venegas: ‎sticker omitido
[28/5/24, 9:04:46 p. m.] Luis Fer Amey: O sea lo mismo, muy tramposo. En general, que se le ocurriera a uno la doble gamma o probar la martingala o correr la ruina son pequeños detalles que no
[28/5/24, 9:05:23 p. m.] Gerard: Y había dicho que lo iba a hacer fácil por lo del tiempo
[28/5/24, 9:06:00 p. m.] Marco Guardia: A mí no me gustó en dos partes 
A veces a uno se le ocurren cosas al rato
[28/5/24, 9:06:13 p. m.] Gerard: X2
[28/5/24, 9:06:38 p. m.] Ashley Padilla: Eso deberíamos hablarlo con el profe si, que negociemos otra vez eso
[28/5/24, 9:07:53 p. m.] Gerard: Yo prefiero mil veces que nos diga, dejen sus bolsillos vacíos y nos revise antes de ir al baño que lo que hizo
[28/5/24, 9:08:00 p. m.] Corella: Hpt, al menos yo por estar más atento del tiempo que del examen hice un montón de estupideces
[28/5/24, 9:08:12 p. m.] Corella: O cosas que no hubiera hecho con calma
[28/5/24, 9:08:16 p. m.] Luis Fer Amey: Yes
[28/5/24, 9:08:42 p. m.] Corella: Seeeh
[28/5/24, 9:13:26 p. m.] Javier Hernández: Y técnico. Era saberse el truco o nada
[28/5/24, 9:14:45 p. m.] Javier Hernández: Solo que no sé que tan buena idea sea porque aún queda un examen… 
En el momento en que él vea que las notas bajaron, se va a dar cuenta que algo pasó y tal vez más bien él nos diga algo ‎<Se editó este mensaje.>
[28/5/24, 9:14:59 p. m.] Venegas: exactooo
[28/5/24, 9:15:09 p. m.] Venegas: no debería ser así
[28/5/24, 9:15:14 p. m.] Venegas: no todo son trucos
[28/5/24, 9:15:40 p. m.] Javier Hernández: Yo opino que mejor esperar a que entregue notas, a lo que vi puede que nos los entregue el jueves
[28/5/24, 9:16:40 p. m.] Javier Hernández: Nos conviene más que nos regañe y se toque el corazón a que le reclamemos y se desquite
[28/5/24, 9:17:07 p. m.] Venegas: Bueno, tsmpoco es que le iba a ser despiche
[28/5/24, 9:17:16 p. m.] Corella: O sea, si pero también decirle sin reclamar que porque no hace el sgt examen normal
[28/5/24, 9:17:17 p. m.] Venegas: Solo se lo iba a comentar y ya
[28/5/24, 9:17:20 p. m.] Corella: Y que nos revise
[28/5/24, 9:17:34 p. m.] Venegas: Porque si se encamota nos culea
[28/5/24, 9:17:39 p. m.] Venegas: Eso es un hecho
[28/5/24, 9:18:00 p. m.] Javier Hernández: Por eso, sería mejor esperar a ver qué dice él primero
[28/5/24, 9:18:24 p. m.] Marco Guardia: Sí totalmente 
Mejor esperar a que nos pregunte qué nos pasó
[28/5/24, 9:18:30 p. m.] Venegas: Bueno
[28/5/24, 9:18:49 p. m.] Corella: Ajá
[28/5/24, 10:00:12 p. m.] Venegas: Yo escuché "Las Variables no tienen idéntica distribución" y yo
‎[28/5/24, 10:00:14 p. m.] Venegas: ‎sticker omitido
[29/5/24, 2:50:39 p. m.] Venegas: Mis putitas
‎[29/5/24, 2:50:52 p. m.] Venegas: ‎imagen omitida
[29/5/24, 2:50:54 p. m.] Venegas: Por aquello
[29/5/24, 2:50:56 p. m.] Venegas: Hay un error
[29/5/24, 2:51:02 p. m.] Venegas: En el horario de miércoles
[29/5/24, 2:51:28 p. m.] Venegas: La primera, es decir Instrumentos, es de 5 a 7
La segunda, es decir, Conti, es de 7 a 9
[29/5/24, 2:51:33 p. m.] Venegas: Ambas virtuales el Miércoles
[29/5/24, 2:51:39 p. m.] Venegas: Confirmado por Juanga, por aquello
[29/5/24, 3:15:19 p. m.] Luis Fer Amey: Diay si 😖
[29/5/24, 3:15:34 p. m.] Luis Fer Amey: Salió peor este horario
[30/5/24, 10:13:33 a. m.] Venegas: Tranqui mi rey, la evaluación docente es para acusar esos comentarios
‎[30/5/24, 10:13:36 a. m.] Venegas: ‎sticker omitido
[30/5/24, 10:13:47 a. m.] Venegas: Nunca he querido llenar tanto una, como esta
‎[30/5/24, 10:13:48 a. m.] Venegas: ‎sticker omitido
[30/5/24, 10:37:01 a. m.] Venegas: Tip: Vean qué...
*** Procede a meter otro tema
‎[30/5/24, 10:37:05 a. m.] Venegas: ‎sticker omitido
‎[30/5/24, 6:05:01 p. m.] Dixon Montero: ‎imagen omitida
‎[30/5/24, 8:57:03 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:03 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:57:12 p. m.] Sofía Bocker: ‎imagen omitida
‎[30/5/24, 8:59:18 p. m.] Sofía Bocker: ‎Video omitido
‎[30/5/24, 8:59:18 p. m.] Sofía Bocker: ‎Video omitido
‎[30/5/24, 8:59:18 p. m.] Sofía Bocker: ‎Video omitido
‎[30/5/24, 9:30:30 p. m.] Javier Hernández: ‎sticker omitido
[30/5/24, 9:49:36 p. m.] Juan Pablo M.: ‎Cambió tu código de seguridad con Juan Pablo M..
[31/5/24, 1:51:55 p. m.] Venegas: El siguiente examen viene sin ser independientes
[31/5/24, 1:51:56 p. m.] Venegas: Para no poder hacer ese truco
‎[31/5/24, 1:51:57 p. m.] Venegas: ‎sticker omitido
[4/6/24, 11:56:17 a. m.] Gustavo Amador: En mi tiempo de ocio me metí a una ia que genera canciones y le puse de descripción que Los de la escuela de matemática querían que los físcos se fueran jajaj
Por si la quieren escuchar, está chistosa xd:

https://suno.com/song/1eba8dd3-f673-4d0f-b9cd-e940c5dd0695
[6/6/24, 9:10:32 a. m.] Venegas: Maikol: Me los voy a volver a  topar
[6/6/24, 9:10:41 a. m.] Venegas: Yo que llevo Herramientas con él el otro semestre
‎[6/6/24, 9:10:46 a. m.] Venegas: ‎sticker omitido
[6/6/24, 9:12:51 a. m.] Gustavo Amador: Deay ya no 🙇🏻‍♂️
‎[6/6/24, 9:12:58 a. m.] Gustavo Amador: ‎sticker omitido
[6/6/24, 9:13:39 a. m.] Ashley Padilla: Nunca esperamos nada de ti y aún así nos decepcionas
‎[6/6/24, 9:14:02 a. m.] Gustavo Amador: ‎sticker omitido
‎[6/6/24, 9:14:03 a. m.] Gustavo Amador: ‎sticker omitido
‎[6/6/24, 9:10:22 p. m.] Adrian: ‎imagen omitida
‎[7/6/24, 6:27:44 p. m.] Ashley Padilla: ‎sticker omitido
[7/6/24, 6:27:57 p. m.] Venegas: *JAJAJAKJSJKASJKASJKAS*
[7/6/24, 6:28:01 p. m.] Venegas: No valer nada usted
[7/6/24, 6:28:07 p. m.] Juan Pablo M.: JAJAJAJJAJAJAJAJAJAJAJ
[7/6/24, 6:28:22 p. m.] Venegas: Alguien que le diga a la zorra de tony que vea el cel
[7/6/24, 6:28:24 p. m.] Venegas: Plis
[7/6/24, 6:29:15 p. m.] Anthony: Ya estoy
[7/6/24, 6:29:21 p. m.] Anthony: Ud no me ha mandado nada
[7/6/24, 6:29:29 p. m.] Venegas: xd
[7/6/24, 6:29:31 p. m.] Venegas: Mae tony
[7/6/24, 6:29:35 p. m.] Venegas: El intervalo de confianza
[7/6/24, 6:29:40 p. m.] Venegas: De cuánrta confianza es
[7/6/24, 6:29:42 p. m.] Venegas: La proba?
[7/6/24, 6:29:44 p. m.] Venegas: Del 90%?
[7/6/24, 6:29:47 p. m.] Anthony: 0.05
[7/6/24, 6:29:48 p. m.] Venegas: O de cuánto'
[7/6/24, 6:29:49 p. m.] Anthony: 95
[7/6/24, 6:29:50 p. m.] Venegas: Okas
[7/6/24, 6:29:54 p. m.] Venegas: Gracias!!!!
[7/6/24, 6:29:56 p. m.] Anthony: 0.025 cada uno
[7/6/24, 6:31:28 p. m.] Venegas: SUAVE IMBECIL
[7/6/24, 6:31:32 p. m.] Venegas: Conteste en el otro rupo XD
[7/6/24, 6:31:36 p. m.] Venegas: grupo*
‎[7/6/24, 7:12:26 p. m.] Dixon Montero: ‎imagen omitida
‎[10/6/24, 2:50:14 p. m.] Venegas: ‎imagen omitida
‎[10/6/24, 2:50:16 p. m.] Venegas: ‎sticker omitido
‎[10/6/24, 2:50:49 p. m.] ~ Paula 🐨: ‎sticker omitido
‎[10/6/24, 2:56:56 p. m.] Venegas: ‎imagen omitida
‎[10/6/24, 2:56:59 p. m.] Venegas: ‎sticker omitido
[10/6/24, 3:08:44 p. m.] Dixon Montero: Jajaja vale 500 tacaño
‎[10/6/24, 3:19:26 p. m.] Venegas: ‎imagen omitida
‎[10/6/24, 3:20:06 p. m.] Venegas: ‎imagen omitida
[10/6/24, 3:20:10 p. m.] Venegas: Di si
[10/6/24, 3:20:13 p. m.] Venegas: Vendo sombrillas
‎[10/6/24, 3:20:14 p. m.] Venegas: ‎sticker omitido
[10/6/24, 3:20:18 p. m.] Venegas: Cara de tres pipis
[10/6/24, 3:20:25 p. m.] Juan Pablo M.: es mía
[10/6/24, 3:20:27 p. m.] Juan Pablo M.: 👉👈
[10/6/24, 3:20:30 p. m.] Venegas: Imbecil
[10/6/24, 3:20:34 p. m.] Juan Pablo M.: JAJAJAJ
[10/6/24, 3:20:43 p. m.] Javier Hernández: @50663600334, mae aproveche JAJAJA
[10/6/24, 3:20:53 p. m.] Venegas: XDDDD
[10/6/24, 3:21:22 p. m.] Santiago Actuariales: Voy 😅
[10/6/24, 3:24:24 p. m.] Adrian: La vi y pensé "probabilidad de 1 a qué la olvide Juanpa" tuve que decirle algo jajaja
[10/6/24, 3:25:04 p. m.] Juan Pablo M.: JAJAJAJAJAJA
[10/6/24, 3:51:17 p. m.] Gustavo Amador: uff
‎[10/6/24, 8:09:22 p. m.] Javier Hernández: ‎imagen omitida
